idx,category,L_a,L_b,L_joined,l2_joint,l2_sum,l2_diff,rel_l2,cosine,a,b
0,related,7,8,15,270.914520,296.521698,108.217194,0.399451,0.931191,The cat sat on the mat.,A feline rested on the rug.
1,related,6,5,11,370.943359,280.559174,154.338898,0.416071,0.924806,She bought a new car.,He purchased a vehicle.
2,related,6,7,13,218.861649,269.669647,122.713860,0.560691,0.894297,The team won the championship.,Our squad took home the trophy.
3,unrelated,7,7,14,190.793076,252.786636,105.654526,0.553765,0.924117,Quantum physics is notoriously difficult.,I really enjoy strawberry ice cream.
4,unrelated,6,9,15,241.302216,268.084808,89.846184,0.372339,0.943151,The election was hotly contested.,The chef prepared a five-course dinner.
5,unrelated,7,7,14,235.053375,257.448700,62.091625,0.264160,0.972289,Birds migrate south in winter.,Stock prices fluctuated all morning.
6,interacting,6,5,11,196.461945,184.500778,105.301750,0.535991,0.849019,The man approached the dog.,It started barking loudly.
7,interacting,5,6,11,251.841949,239.379547,100.265251,0.398128,0.917909,The temperature dropped sharply.,Everyone reached for warm clothes.
8,interacting,6,7,13,210.388107,280.304962,95.231865,0.452649,0.964554,She entered the dim room.,She closed the door behind her.
9,interacting,7,6,13,242.732910,262.384369,61.454872,0.253179,0.973382,The window broke during the storm.,Rain poured onto the carpet.
