idx,category,L_a,L_b,L_joined,l2_joint,l2_sum,l2_diff,rel_l2,cosine,a,b
0,related,7,8,15,31.255215,56.102264,31.219072,0.998844,0.898130,The cat sat on the mat.,A feline rested on the rug.
1,related,6,5,11,31.069651,55.979759,30.944963,0.995987,0.903098,She bought a new car.,He purchased a vehicle.
2,related,6,7,13,25.858849,47.547939,26.082977,1.008667,0.914640,The team won the championship.,Our squad took home the trophy.
3,unrelated,7,7,14,29.390394,52.131039,29.435778,1.001544,0.886001,Quantum physics is notoriously difficult.,I really enjoy strawberry ice cream.
4,unrelated,6,9,15,28.935007,49.808094,26.250059,0.907208,0.912094,The election was hotly contested.,The chef prepared a five-course dinner.
5,unrelated,7,7,14,31.668839,51.361534,31.017572,0.979435,0.823466,Birds migrate south in winter.,Stock prices fluctuated all morning.
6,interacting,6,5,11,31.042994,52.223248,28.109558,0.905504,0.894661,The man approached the dog.,It started barking loudly.
7,interacting,5,6,11,27.598324,53.724731,32.177399,1.165919,0.881030,The temperature dropped sharply.,Everyone reached for warm clothes.
8,interacting,6,7,13,29.931252,58.794838,33.497688,1.119154,0.917892,She entered the dim room.,She closed the door behind her.
9,interacting,7,6,13,27.110645,51.014252,30.004677,1.106749,0.881095,The window broke during the storm.,Rain poured onto the carpet.
